lon,lat,date,county,state,cases,height
-113.75822785062108,35.70498709744037,2021-04-06,Mohave,Arizona,22238,M -1 0 L 0 -2.2238 L 1 0
-90.40497552747871,30.62627057387366,2021-04-06,Tangipahoa,Louisiana,12352,M -1 0 L 0 -1.2352 L 1 0
-114.13824885669405,43.00234819242956,2021-04-06,Lincoln,Idaho,494,M -1 0 L 0 -0.0494 L 1 0
-96.40159151040903,47.77420583010574,2021-04-06,Polk,Minnesota,3554,M -1 0 L 0 -0.3554 L 1 0
-97.24835110388922,46.93312328139637,2021-04-06,Cass,North Dakota,23152,M -1 0 L 0 -2.3152 L 1 0
-103.79250820880186,44.358145163964664,2021-04-06,Lawrence,South Dakota,2902,M -1 0 L 0 -0.2902 L 1 0
-74.44319013623445,42.587329916148825,2021-04-06,Schoharie,New York,1453,M -1 0 L 0 -0.1453 L 1 0
-132.02838542052146,56.32627917215482,2021-04-06,Wrangell City and Borough,Alaska,34,M -1 0 L 0 -0.0034 L 1 0
-85.21146248899151,33.79434314570202,2021-04-06,Haralson,Georgia,2562,M -1 0 L 0 -0.2562 L 1 0
-83.32818198222245,32.434633949990285,2021-04-06,Bleckley,Georgia,1454,M -1 0 L 0 -0.1454 L 1 0
-86.4840098980072,38.84115340686492,2021-04-06,Lawrence,Indiana,4271,M -1 0 L 0 -0.4271 L 1 0
-85.62875281968266,38.9969540834708,2021-04-06,Jennings,Indiana,2234,M -1 0 L 0 -0.2234 L 1 0
-83.22232474798398,43.09033065478799,2021-04-06,Lapeer,Michigan,7508,M -1 0 L 0 -0.7508 L 1 0
-88.947600973704,33.92073606139727,2021-04-06,Chickasaw,Mississippi,2046,M -1 0 L 0 -0.2046 L 1 0
-82.92014389972417,40.850674834553665,2021-04-06,Crawford,Ohio,3784,M -1 0 L 0 -0.3784 L 1 0
-96.79078438160238,43.67429902386352,2021-04-06,Minnehaha,South Dakota,30098,M -1 0 L 0 -3.0098 L 1 0
-97.14785672672882,43.31094072985546,2021-04-06,Turner,South Dakota,1140,M -1 0 L 0 -0.114 L 1 0
-95.57184167962237,30.739450115641617,2021-04-06,Walker,Texas,8648,M -1 0 L 0 -0.8648 L 1 0
-66.38752601862683,17.995366859273393,2021-04-06,Santa Isabel,Puerto Rico,595,M -1 0 L 0 -0.0595 L 1 0
-98.56074508233426,43.7182057110235,2021-04-06,Aurora,South Dakota,461,M -1 0 L 0 -0.0461 L 1 0
-98.21850240318868,27.031064216697562,2021-04-06,Brooks,Texas,778,M -1 0 L 0 -0.0778 L 1 0
-66.05222390382265,18.21648707951977,2021-04-06,Caguas,Puerto Rico,6089,M -1 0 L 0 -0.6089 L 1 0
-66.13883639898506,18.44497914069134,2021-04-06,Catano,Puerto Rico,1281,M -1 0 L 0 -0.1281 L 1 0
-66.41869238393059,18.31918646051824,2021-04-06,Morovis,Puerto Rico,1428,M -1 0 L 0 -0.1428 L 1 0
